Date,1Y Swap,2Y Swap,3Y Swap,4Y Swap,5Y Swap,7Y Swap,10Y Swap,30Y Swap
1/12/1999,5.195,5.21,5.27,5.31,5.36,5.47,5.62,5.9
1/13/1999,5.16,5.13,5.19,5.25,5.3,5.41,5.54,5.85
1/14/1999,5.03,5.05,5.1,5.16,5.21,5.32,5.45,5.79
1/15/1999,4.89,5.1,5.17,5.23,5.28,5.39,5.52,5.82
1/18/1999,4.89,5.1,5.17,5.23,5.28,5.38,5.5,5.82
1/19/1999,5.055,5.05,5.11,5.17,5.32,5.42,5.495,5.85
1/20/1999,5.07,5.16,5.23,5.19,5.3,5.41,5.52,5.82
1/21/1999,5.1,5.1,5.18,5.22,5.26,5.36,5.46,5.81
1/22/1999,5.04,5.06,5.14,5.195,5.21,5.33,5.42,5.76
1/25/1999,5.015,5.09,5.15,5.17,5.25,5.35,5.42,5.8
1/26/1999,5.035,5.11,5.17,5.23,5.25,5.33,5.48,5.8
1/27/1999,5.02,5.09,5.195,5.25,5.29,5.38,5.48,5.79
1/28/1999,5.05,5.11,5.16,5.21,5.23,5.34,5.44,5.77
1/29/1999,5.055,5.13,5.15,5.19,5.3,5.37,5.4,5.73
2/1/1999,5.095,5.145,5.23,5.24,5.29,5.35,5.455,5.82
2/2/1999,5.115,5.21,5.24,5.3,5.33,5.43,5.53,5.87
2/3/1999,5.08,5.22,5.27,5.33,5.38,5.47,5.59,5.87
2/4/1999,5.15,5.26,5.3,5.37,5.42,5.5,5.62,5.9
2/5/1999,5.14,5.31,5.35,5.42,5.48,5.57,5.68,5.96
2/8/1999,5.2,5.3,5.37,5.43,5.48,5.57,5.68,5.95
2/9/1999,5.1588,5.26,5.37,5.41,5.45,5.53,5.65,5.91
2/10/1999,5.1638,5.25,5.38,5.37,5.425,5.509,5.69,5.98
2/11/1999,5.1815,5.32,5.39,5.45,5.51,5.6,5.7,5.98
2/12/1999,5.199,5.337,5.42,5.474,5.54,5.7,5.81,6.07
2/15/1999,5.2453,5.39,5.47,5.55,5.63,5.71,5.83,6.08
2/16/1999,5.219,5.37,5.45,5.52,5.57,5.68,5.78,6
2/17/1999,5.2488,5.36,5.43,5.49,5.53,5.63,5.74,5.96
2/18/1999,5.2188,5.37,5.46,5.465,5.59,5.69,5.8,6.03
2/19/1999,5.2413,5.41,5.48,5.54,5.59,5.69,5.82,6.03
2/22/1999,5.2565,5.42,5.5,5.51,5.62,5.65,5.77,6.01
2/23/1999,5.2363,5.47,5.54,5.59,5.66,5.73,5.84,6.07
2/24/1999,5.3138,5.55,5.61,5.665,5.72,5.8,5.91,6.14
2/25/1999,5.3963,5.66,5.76,5.8,5.88,5.97,6.07,6.28
2/26/1999,5.3988,5.64,5.73,5.785,5.84,5.93,6.03,6.22
3/1/1999,5.4313,5.68,5.79,5.87,5.92,6.02,6.13,6.32
3/2/1999,5.399,5.68,5.77,5.79,5.9,5.957,6.09,6.26
3/3/1999,5.404,5.66,5.78,5.85,5.91,6.02,6.14,6.34
3/4/1999,5.41,5.69,5.81,5.88,5.94,6.05,6.18,6.36
3/5/1999,5.3768,5.59,5.72,5.78,5.86,5.96,6.07,6.26
3/8/1999,5.3563,5.6,5.7,5.75,5.84,5.93,6.05,6.26
3/9/1999,5.344,5.49,5.61,5.7,5.76,5.85,5.97,6.21
3/10/1999,5.3053,5.54,5.66,5.713,5.79,5.86,5.999,6.23
3/11/1999,5.3075,5.53,5.63,5.71,5.77,5.89,6,6.23
3/12/1999,5.2915,5.49,5.61,5.683,5.73,5.825,5.96,6.18
3/15/1999,5.279,5.467,5.58,5.66,5.71,5.8,5.945,6.18
3/16/1999,5.264,5.44,5.54,5.6,5.67,5.76,5.885,6.14
3/17/1999,5.274,5.45,5.56,5.63,5.7,5.8,5.91,6.17
3/18/1999,5.2613,5.44,5.54,5.6,5.7,5.77,5.9,6.1563
3/19/1999,5.2715,5.49,5.59,5.66,5.73,5.83,5.96,6.21
3/22/1999,5.2988,5.51,5.62,5.685,5.75,5.86,5.975,6.22
3/23/1999,5.2853,5.45,5.54,5.62,5.69,5.81,5.94,6.2
3/24/1999,5.2613,5.455,5.565,5.64,5.7,5.82,5.96,6.19
3/25/1999,5.2713,5.49,5.61,5.68,5.74,5.87,6,6.24
3/26/1999,5.2338,5.465,5.575,5.665,5.735,5.85,6,6.24
3/29/1999,5.2465,5.465,5.59,5.7,5.78,5.89,6.05,6.3
3/30/1999,5.2615,5.42,5.55,5.62,5.71,5.83,5.98,6.24
3/31/1999,5.254,5.425,5.56,5.655,5.735,5.855,6.005,6.29
4/1/1999,5.2663,5.458,5.588,5.676,5.753,5.882,6.038,6.34
4/2/1999,5.2263,5.43,5.545,5.64,5.705,5.835,5.985,6.27
4/5/1999,5.2315,5.42,5.55,5.595,5.71,5.83,5.98,6.26
4/6/1999,5.22,5.37,5.48,5.58,5.65,5.77,5.9,6.19
4/7/1999,5.2138,5.38,5.5,5.58,5.66,5.76,5.89,6.16
4/8/1999,5.214,5.35,5.46,5.53,5.59,5.69,5.82,6.11
4/9/1999,5.1763,5.35,5.46,5.54,5.6,5.7,5.83,6.12
4/12/1999,5.179,5.37,5.47,5.53,5.6,5.7,5.82,6.1
4/13/1999,5.2015,5.38,5.5,5.575,5.63,5.735,5.865,6.135
4/14/1999,5.199,5.4,5.52,5.59,5.655,5.76,5.89,6.155
4/15/1999,5.2203,5.42,5.545,5.625,5.69,5.795,5.93,6.165
4/16/1999,5.2413,5.465,5.595,5.66,5.73,5.835,5.97,6.22
4/19/1999,5.2713,5.41,5.51,5.6,5.65,5.76,5.895,6.17
4/20/1999,5.2275,5.42,5.53,5.605,5.66,5.77,5.9,6.165
4/21/1999,5.2263,5.44,5.56,5.635,5.7,5.8,5.93,6.18
4/22/1999,5.2513,5.485,5.61,5.68,5.77,5.865,5.99,6.26
4/23/1999,5.2513,5.48,5.61,5.685,5.76,5.86,5.99,6.26
4/26/1999,5.2688,5.46,5.585,5.66,5.73,5.83,5.94,6.225
4/27/1999,5.2465,5.44,5.575,5.64,5.72,5.82,5.945,6.195
4/28/1999,5.2615,5.47,5.61,5.685,5.755,5.86,5.98,6.23
4/29/1999,5.2163,5.41,5.54,5.59,5.7,5.795,5.925,6.165
4/30/1999,5.264,5.51,5.645,5.735,5.82,5.935,6.06,6.31
5/3/1999,5.2965,5.52,5.65,5.7,5.81,5.93,6.06,6.3
5/4/1999,5.319,5.54,5.67,5.75,5.845,5.96,6.095,6.35
