,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,1974Q,2206Q,222435Q,2691Q,304024Q,3301Q,355488Q,4621824Q,519239Q,5656565D,8394653Q,AAPL,ADM,AMGN,AON,ARG,AVY,AZO,BAX,BAX,BBY,BHI,BIIB,BKNG,BMY,BR,BSX
73,202550Q,2218Q,2251Q,2727195Q,3054Q,3346Q,3605818Q,502466Q,5656565D,605018Q,929530Q,ABC,ADP,AMP,APC,ATGE,AXP,BA,BBBY,BBBY,BCR,BIIB,BK,BKR,BR,BRK/B,BWA
74,204923Q,2223Q,2269312Q,2731112Q,3075558Q,3393199Q,3621240Q,519239Q,605018Q,605555Q,987200Q,ABKFQ,ADSK,AMT,APD,ATI,AYE,BAC,BBWI,BBWI,BDX,BK,BKNG,BLK,BRK/B,BSX,BXP
75,2106Q,2251Q,2282655Q,2745Q,3080867Q,3403545Q,3692470Q,544791Q,605555Q,653707Q,9876544D,ABT,AEE,AMZN,APH,AVB,AZO,BAX,BBY,BBY,BEN,BKNG,BLK,BLL,BSX,BWA,C
76,210811Q,2269312Q,228510Q,2755Q,3179Q,3423152Q,41018Q,605018Q,653707Q,723588Q,9876566D,ADBE,AEP,AN,APOL,AVP,BA,BBBY,BCR,BCR,BF/B,BLK,BLL,BMY,BWA,BXP,CAG
77,210967Q,2282655Q,2288005Q,2770014Q,3253Q,3517233Q,4621824Q,605555Q,723588Q,764144Q,9990302D,ADI,AES,ANDV,ATI,AVY,BAC,BBWI,BDX,BDX,BHI,BLL,BMY,BRK/B,BXP,C,CAH
78,2196Q,228510Q,231079Q,285939Q,3277Q,355488Q,502466Q,653707Q,748957Q,8394653Q,9995522D,ADM,AET,ANF,AVB,AXP,BAX,BBY,BEN,BEN,BIIB,BMY,BRK/B,BSX,C,CAG,CARR
79,2200Q,2288005Q,231330Q,291784Q,3286728Q,3605818Q,544791Q,680884Q,764144Q,929530Q,A,ADP,AFL,ANTM,AVP,AYE,BBBY,BCR,BF/B,BF/B,BK,BRCM,BSX,BWA,CAG,CAH,CAT
80,2206Q,231079Q,236555Q,2953349Q,329556Q,3621240Q,605018Q,723588Q,929530Q,945852Q,AA,ADSK,AGN,AON,AVY,AZO,BBWI,BDX,BHI,BHI,BKNG,BRK/B,BWA,BXP,CAH,CAT,CB
81,2218Q,231330Q,2428Q,2964Q,3301Q,3692470Q,605555Q,748957Q,945852Q,987200Q,AAPL,AEE,AIG,APC,AXP,BA,BBY,BEN,BIG,BIIB,BLK,BSX,BXP,C,CAT,CB,CBOE
82,2223Q,236555Q,2500Q,2968900Q,3346Q,41018Q,653707Q,8214761Q,987200Q,9876544D,ABC,AEP,AIV,APD,AYE,BAC,BCR,BF/B,BIIB,BK,BLL,BWA,C,CA,CB,CBOE,CBRE
83,2251Q,2428Q,253647Q,2972Q,3393199Q,45200Q,677004Q,929530Q,9876544D,9876566D,ABKFQ,AES,ALL,APOL,AZO,BAX,BDX,BHI,BK,BKNG,BMY,BXLT,CA,CAG,CBOE,CBRE,CCI
84,2269312Q,2500Q,263179Q,297504Q,3403545Q,502466Q,680884Q,945852Q,9876566D,9990302D,ABT,AET,AMAT,ASH,BA,BBBY,BEN,BIG,BKNG,BLK,BRCM,BXP,CAG,CAH,CBRE,CCI,CCL
85,2282655Q,253647Q,2638Q,2999130Q,3423152Q,544791Q,723588Q,987200Q,9990302D,9995522D,ADBE,AFL,AMD,ATI,BAC,BBWI,BF/B,BIIB,BLK,BLL,BRK/B,C,CAH,CAT,CCI,CCL,CDNS
86,2288005Q,263179Q,2691Q,300583Q,3459Q,571300Q,739306Q,9876544D,9995522D,A,ADI,AGN,AMGN,AVB,BAX,BBY,BHI,BK,BLL,BMS,BSX,CA,CAT,CB,CCL,CDNS,CDW
87,231079Q,2638Q,2727195Q,3022239Q,3517233Q,605555Q,748957Q,9876566D,A,AA,ADM,AIG,AMP,AVP,BBBY,BCR,BIG,BKNG,BMC,BMY,BWA,CAG,CB,CBOE,CDNS,CDW,CE
88,231330Q,2691Q,2731112Q,3026360Q,3546Q,653707Q,8214761Q,9990302D,AA,AAPL,ADP,AIV,AMZN,AVY,BBWI,BDK,BIIB,BLK,BMS,BRCM,BXP,CAH,CBRE,CBRE,CE,CE,CERN
89,236555Q,2727195Q,2745Q,304024Q,355488Q,667517Q,89236Q,9995522D,AAMRQ,ABC,ADSK,ALL,AN,AW,BBY,BDX,BK,BLL,BMY,BRK/B,C,CAM,CCI,CCI,CELG,CERN,CF
90,2428Q,2731112Q,2755Q,3054Q,3605818Q,677004Q,929530Q,A,AAPL,ABKFQ,AEE,AMAT,ANTM,AXP,BCR,BEN,BKNG,BMC,BRCM,BSX,CA,CAT,CCL,CCL,CERN,CF,CFG
